"COUNTY","NUM","ROUTE","ACROSS","DIVISION","YEARBUILT","STRUCTURALLYDEFICIENT","FUNCTIONALLYOBSOLETE","SR","POSTEDSV","POSTEDTTST"
"WILSON",283,"SR1645","I-795",4,2002,"N","N",96.5,"Not Posted","Not Posted"
"WAKE",316,"SR2542","I40",5,1977,"N","N",100,"Not Posted","Not Posted"
"CUMBERLAND",110,"SR2012","CREEK",6,1971,"N","N",57.8,"19","28"
"MOORE",14,"SR1102","DEEP CREEK",8,1941,"N","FO",80.2,"25","Not Posted"
"HAYWOOD",246,"SR1216","W.FORK PIGEON CREEK",14,1920,"SD","FO",14.3,"7","7"
"ANSON",204,"SR1600","CRIBS CREEK",10,1954,"N","N",96.2,"Not Posted","Not Posted"
"CARTERET",39,"US70","OYSTER CREEK",2,1977,"N","N",68,"Not Posted","Not Posted"
"CHEROKEE",227,"SR1305","CANE CREEK",14,1961,"N","N",79.7,"Not Posted","Not Posted"
"ROWAN",416,"US70 EBL","SOUTHERN RAILROAD",9,2008,"N","N",97.6,"Not Posted","Not Posted"
"VANCE",41,"SR1501","FISHING CREEK",5,1950,"N","N",51.5,"17","24"
"ASHE",449,"SR1291","BUFFALO CREEK",11,2004,"N","N",94.4,"Not Posted","Not Posted"
"LINCOLN",29,"NC182","LEONARD FORK CREEK",12,1949,"SD","N",18.1,"Not Posted","Not Posted"
"POLK",218,"NC9","US74",14,1981,"N","N",95.9,"Not Posted","Not Posted"
"LINCOLN",55,"SR1252","S.FORK CATAWBA RIVER",12,1977,"N","N",96.9,"Not Posted","Not Posted"
"CUMBERLAND",84,"US401BUS.","CUMBERLAND ST",6,1973,"N","N",77.4,"Not Posted","Not Posted"
"GREENE",38,"SR1004","CONTENTNEA CREEK",2,1955,"N","N",65,"Not Posted","Not Posted"
"DURHAM",429,"NC147 NBL","I85 & US70 BUS.",5,1999,"N","N",98.7,"Not Posted","Not Posted"
"TRANSYLVANIA",123,"SR1361","TURKEY CREEK",14,1961,"N","FO",69.1,"24","37"
"PITT",479,"US13/NC11 BYP","US64A",2,2004,"N","N",98.7,"Not Posted","Not Posted"
"HAYWOOD",132,"US276","EAST FORK PIEGON",14,1935,"N","FO",49,"Not Posted","Not Posted"
