"name","rank","recruit_year","drafted"
"Cameron Tatum",96,2006,FALSE
"Maurice Searight",92,2000,FALSE
"Chey Christie",55,2001,FALSE
"Lenny Cooke",25,2002,FALSE
"Malik Hairston",9,2004,TRUE
"Jamie Skeen",50,2006,FALSE
"Archie Goodwin",10,2012,TRUE
"Marco Killingsworth",53,2001,FALSE
"Danrad Knowles",64,2012,FALSE
"Katin Reinhardt",36,2012,FALSE
"Quincy Pondexter",27,2006,TRUE
"Adam Haluska",74,2002,TRUE
"Marcus Campbell",75,2001,FALSE
"Renardo Sidney",7,2009,FALSE
"James Anderson",28,2007,TRUE
"Nick Young",89,2004,TRUE
"Nik Caner-Medley",95,2002,FALSE
"Emmanuel Negedu",43,2008,FALSE
"Jared Sullinger",2,2010,TRUE
"Magnum Rolle",33,2005,TRUE
"Donnavan Kirk",89,2009,FALSE
"James Robinson",63,2012,FALSE
"Pierre Pierce",32,2001,FALSE
"JT Terrell",51,2010,FALSE
"Richard Jefferson",33,1998,TRUE
"MoMo Jones",84,2009,FALSE
"Dorell Wright",64,2003,TRUE
"Jason Maxiell",32,2001,TRUE
"Monta Ellis",2,2005,TRUE
"Terry Licorish",96,2001,FALSE
"Phil Nelson",71,2006,FALSE
"Ruben Douglas",43,1998,FALSE
"Martin Iti",44,2003,FALSE
"George Williams",30,1999,FALSE
"William Buford",12,2008,FALSE
"Daniel Bejarano",70,2010,FALSE
"Josh Hairston",32,2010,FALSE
"Marcus White",81,2002,FALSE
"Jermaine Watson",86,2001,FALSE
"Paris London",43,1998,FALSE
"Mike Conley",21,2006,TRUE
"Hollis Thompson",76,2009,FALSE
"Marshawn Powell",72,2009,FALSE
"Abdou Diame",17,2000,FALSE
"Omari Isreal",89,2003,FALSE
"Phil Pressey",41,2010,FALSE
"LaQuinton Ross",44,2011,FALSE
"Brandan Wright",3,2006,TRUE
"Julian Vaughn",73,2007,FALSE
"Al Harrington",1,1998,TRUE
"Brett Nelson",7,1999,FALSE
"Najeeb Echols",58,2001,FALSE
"Matt Derenbecker",85,2010,FALSE
"Shawn Taggart",58,2005,FALSE
"Yusuf Baker",75,2002,FALSE
"Trae Golden",86,2010,FALSE
"Chris Douglas-Roberts",41,2005,TRUE
"Levi Randolph",29,2011,FALSE
"Drew Gordon",29,2008,FALSE
"Jason Gardner",18,1999,FALSE
"JaKarr Sampson",79,2012,FALSE
"Rodney Hood",27,2011,TRUE
"Travis Robinson",41,1998,FALSE
"Jason Kapono",10,1999,TRUE
"Lonny Baxter",80,1998,TRUE
"Chris Singleton",14,2008,TRUE
"Brad Wanamaker",89,2007,FALSE
"Julius Randle",2,2013,TRUE
"Jordan McRae",40,2010,TRUE
"Tack Minor",37,2003,FALSE
"Martynas Pocius",53,2005,FALSE
"DeMar DeRozan",5,2008,TRUE
"Michael Young",85,2013,FALSE
"Angel Garcia",54,2008,FALSE
"Nolan Dennis",41,2009,FALSE
"John Riek",52,2008,FALSE
"Luke Babbitt",19,2008,TRUE
"Greg Brown",80,2002,FALSE
"Michael Carter-Williams",25,2011,TRUE
"Hassan Adams",20,2002,TRUE
"Tre'Shaun Fletcher",100,2013,FALSE
"Al-Farouq Aminu",7,2008,TRUE
"Dennis Gates",92,1998,FALSE
"Jay Williams",3,1999,TRUE
"Tahj Holden",75,1999,FALSE
"Gary Flowers",86,2005,FALSE
"Jon Kreft",51,2006,FALSE
"Sylven Landesberg",33,2008,FALSE
"Erik Copes",76,2011,FALSE
"Sani Ibrahim",23,2002,FALSE
"Hollis Price",53,1999,FALSE
"Derrick Nix",88,2009,FALSE
"Guillermo Diaz",68,2003,TRUE
"Sean Mosley",50,2008,FALSE
"Julian Swartz",92,1999,FALSE
"D.J. Augustin",29,2006,TRUE
"Arron Afflalo",26,2004,TRUE
"Bronson Koenig",79,2013,FALSE
"Kyle Washington",99,2013,FALSE
"Bernard Robinson",67,2000,TRUE
